ID,Year ,Month,Periphery
mr2009a01,2009,5,1
mr2009a02,2009,5,1
mr2009a03,2009,5,1
mr2009a04,2009,5,0
mr2009a06,2009,5,1
mr2009a07,2009,5,2
mr2009a08,2009,5,0
mr2009a09,2009,5,1
mr2009a11,2009,5,1
mr2009a13,2009,5,2
mr2009a14,2009,5,2
mr2009a15,2009,5,2
mr2009a16,2009,5,1
mr2009a17,2009,5,1
mr2009a18,2009,5,2
mr2009a21,2009,5,1
mr2009a23,2009,5,1
mr2009a24,2009,5,1
mr2009a25,2009,5,1
mr2009a26,2009,5,2
mr2009a27,2009,5,1
mr2009a28,2009,5,
mr2009a29,2009,5,
mr2009a30,2009,5,
mr2009a31,2009,5,
mr2009a10,2009,5,
mr2010a01,2009,5,
mr2010a03,2009,5,
mr2011a01,2009,5,
mr2011a02,2009,5,
mr2011a03,2009,5,
mr2011a04,2009,5,
mr2011a05,2009,5,
mr2011a06,2009,5,
mr2012a01,2009,5,
mr2012a02,2009,5,
mr2012a03,2009,5,
mr2012a04,2009,5,
mr2012a05,2009,5,
mr2012a06,2009,5,
mr2013a15,2009,5,
mr2009a01,2009,6,1
mr2009a02,2009,6,1
mr2009a03,2009,6,1
mr2009a04,2009,6,1
mr2009a06,2009,6,1
mr2009a07,2009,6,2
mr2009a08,2009,6,1
mr2009a09,2009,6,1
mr2009a11,2009,6,1
mr2009a13,2009,6,2
mr2009a14,2009,6,1
mr2009a15,2009,6,2
mr2009a16,2009,6,1
mr2009a17,2009,6,0
mr2009a18,2009,6,2
mr2009a21,2009,6,1
mr2009a23,2009,6,
mr2009a24,2009,6,1
mr2009a25,2009,6,1
mr2009a26,2009,6,2
mr2009a27,2009,6,1
mr2009a28,2009,6,
mr2009a29,2009,6,
mr2009a30,2009,6,
mr2009a31,2009,6,
mr2009a10,2009,6,
mr2010a01,2009,6,
mr2010a03,2009,6,
mr2011a01,2009,6,
mr2011a02,2009,6,
mr2011a03,2009,6,
mr2011a04,2009,6,
mr2011a05,2009,6,
mr2011a06,2009,6,
mr2012a01,2009,6,
mr2012a02,2009,6,
mr2012a03,2009,6,
mr2012a04,2009,6,
mr2012a05,2009,6,
mr2012a06,2009,6,
mr2013a15,2009,6,
