"","ID","Year","NNdist","CalvingGround","Calved","CalvingDate","Lost","LossDate","NNdistkm"
"1","mr2009a01","2009",16254.8484076784,"On",1,2009-05-22,0,NA,16.2548484076784
"2","mr2009a02","2009",19821.2062203854,"On",1,2009-05-22,0,NA,19.8212062203854
"3","mr2009a02","2010",19430.7840738168,"On",1,2010-05-24,0,NA,19.4307840738167
"4","mr2009a02","2011",18044.313637571,"On",1,2011-05-30,0,NA,18.044313637571
"5","mr2009a02","2012",17551.2039519111,"On",1,2012-05-29,1,2012-06-01,17.5512039519111
"6","mr2009a03","2009",18071.304972102,"On",1,2009-06-06,1,2009-06-18,18.071304972102
"7","mr2009a03","2010",19262.3448630094,"On",1,2010-05-22,0,NA,19.2623448630094
"8","mr2009a03","2011",19489.6473384261,"On",1,2011-06-04,1,2011-06-18,19.4896473384261
"9","mr2009a03","2012",23839.9737222386,"On",1,2012-05-22,0,NA,23.8399737222386
"10","mr2009a03","2013",31541.3839260171,"On",1,2013-05-22,0,NA,31.5413839260171
"11","mr2009a04","2009",15971.5183067152,"On",1,2009-05-22,0,NA,15.9715183067152
"12","mr2009a04","2010",17836.240686253,"On",1,2010-05-22,0,NA,17.836240686253
"13","mr2009a06","2009",18742.1880525205,"On",1,2009-05-31,1,2009-06-09,18.7421880525205
"14","mr2009a06","2010",19772.5811224073,"On",1,2010-05-22,0,NA,19.7725811224073
"15","mr2009a06","2011",19466.9187110501,"On",1,2011-05-22,0,NA,19.4669187110501
"16","mr2009a06","2012",23806.6331022912,"On",1,2012-05-22,0,NA,23.8066331022912
"17","mr2009a06","2013",31198.9895174467,"On",1,2013-05-22,0,NA,31.1989895174467
"18","mr2009a07","2009",20879.6618086851,"Off",1,2009-06-02,1,2009-06-05,20.8796618086851
"19","mr2009a07","2010",20045.060092773,"On",1,2010-05-22,0,NA,20.045060092773
"20","mr2009a07","2011",20330.0663768185,"On",1,2011-05-30,1,2011-06-01,20.3300663768185
"21","mr2009a07","2012",39508.0339556703,"Off",1,2012-05-22,0,NA,39.5080339556703
"22","mr2009a08","2009",16990.4772730495,"On",1,2009-05-22,0,NA,16.9904772730495
"23","mr2009a08","2010",19734.7114785532,"On",1,2010-05-28,1,2010-06-01,19.7347114785532
"24","mr2009a08","2011",22323.3882233935,"On",1,2011-06-01,1,2011-06-06,22.3233882233935
"25","mr2009a08","2012",17648.7999656742,"On",1,2012-05-22,0,NA,17.6487999656742
"26","mr2009a09","2009",15375.5293171587,"On",1,2009-05-23,0,NA,15.3755293171587
"27","mr2009a09","2010",18813.2980325424,"On",1,2010-05-31,0,NA,18.8132980325424
"28","mr2009a09","2011",18264.528470733,"On",1,2011-05-28,0,NA,18.264528470733
