ID,Year,NNdist,CalvingGround,Calved,CalvingDate,Lost,LossDate,NNpart,CalvingGround2,NNdistkm
mr2009a01,2009,16254.8484076784,On,1,2009-05-22,0,,13242.825383052,1,16.2548484076784
mr2009a02,2009,19821.2062203854,On,1,2009-05-22,0,,29844.3167612736,1,19.8212062203854
mr2009a02,2010,19430.7840738168,On,1,2010-05-24,0,,15677.0772285456,1,19.4307840738168
mr2009a02,2011,18044.313637571,On,1,2011-05-30,0,,16590.8374208032,1,18.044313637571
mr2009a02,2012,17551.2039519111,On,1,2012-05-29,1,2012-06-01,8539.00102722411,1,17.5512039519111
mr2009a03,2009,18071.304972102,On,1,2009-06-06,1,2009-06-18,14757.6495606685,1,18.071304972102
mr2009a03,2010,19262.3448630094,On,1,2010-05-22,0,,14187.8278333459,1,19.2623448630094
mr2009a03,2011,19489.6473384261,On,1,2011-06-04,1,2011-06-18,19374.5487402698,1,19.4896473384261
mr2009a03,2012,23839.9737222386,On,1,2012-05-22,0,,15127.167460281,1,23.8399737222386
mr2009a03,2013,31541.3839260171,On,1,2013-05-22,0,,27416.8969266623,1,31.5413839260171
mr2009a04,2009,15971.5183067152,On,1,2009-05-22,0,,15217.064510393,1,15.9715183067152
mr2009a04,2010,17836.240686253,On,1,2010-05-22,0,,14760.6576755064,1,17.836240686253
mr2009a06,2009,18742.1880525205,On,1,2009-05-31,1,2009-06-09,15923.8885963413,1,18.7421880525205
mr2009a06,2010,19772.5811224073,On,1,2010-05-22,0,,11231.5245816839,1,19.7725811224073
mr2009a06,2011,19466.9187110501,On,1,2011-05-22,0,,13024.9063405958,1,19.4669187110501
mr2009a06,2012,23806.6331022912,On,1,2012-05-22,0,,10916.7020373324,1,23.8066331022912
mr2009a06,2013,31198.9895174467,On,1,2013-05-22,0,,21425.14461146,1,31.1989895174467
mr2009a07,2009,20879.6618086852,Off,1,2009-06-02,1,2009-06-05,13389.9003062635,0,20.8796618086852
mr2009a07,2010,20045.060092773,On,1,2010-05-22,0,,13647.6614168976,1,20.045060092773
mr2009a07,2011,20330.0663768185,On,1,2011-05-30,1,2011-06-01,14779.7259445084,1,20.3300663768185
mr2009a07,2012,39508.0339556703,Off,1,2012-05-22,0,,41193.1637531373,0,39.5080339556703
mr2009a08,2009,16990.4772730495,On,1,2009-05-22,0,,13013.9211097526,1,16.9904772730495
mr2009a08,2010,19734.7114785532,On,1,2010-05-28,1,2010-06-01,17910.7671619096,1,19.7347114785532
mr2009a08,2011,22323.3882233935,On,1,2011-06-01,1,2011-06-06,14725.4245730911,1,22.3233882233935
mr2009a08,2012,17648.7999656742,On,1,2012-05-22,0,,10445.7943548242,1,17.6487999656742
mr2009a09,2009,15375.5293171587,On,1,2009-05-23,0,,16714.3218099489,1,15.3755293171587
mr2009a09,2010,18813.2980325424,On,1,2010-05-31,0,,20848.1626297818,1,18.8132980325424
mr2009a09,2011,18264.528470733,On,1,2011-05-28,0,,15576.6144649063,1,18.264528470733
mr2009a09,2012,17212.6966112499,On,1,2012-05-25,0,,10382.8206623201,1,17.2126966112499
mr2009a09,2013,28017.0294761442,On,1,2013-05-23,1,2013-06-05,22542.9008690375,1,28.0170294761442
mr2009a10,2011,16944.9833971551,On,1,2011-05-30,0,,16907.3210312535,1,16.9449833971551
mr2009a10,2012,16983.5859987469,On,1,2012-05-28,1,2012-05-31,8331.00263661498,1,16.9835859987469
mr2009a10,2013,31297.6242813775,On,1,2013-05-23,0,,21886.2827964305,1,31.2976242813775
mr2009a11,2009,16244.2103121993,On,1,2009-05-22,0,,15525.9959308264,1,16.2442103121993
mr2009a11,2010,17493.3369186783,On,1,2010-05-22,0,,12750.2525218151,1,17.4933369186783
mr2009a11,2011,18823.7549589407,On,1,2011-05-22,0,,16330.1921532381,1,18.8237549589407
mr2009a11,2012,12426.8704160173,On,,,0,,,1,12.4268704160173
mr2009a13,2009,45716.8262812287,Off,1,2009-05-22,0,,29532.4733481238,0,45.7168262812287
mr2009a14,2009,34715.6515882745,Off,1,2009-06-18,1,2009-06-03,40982.2378711889,0,34.7156515882745
mr2009a14,2010,28763.2453138287,On,1,2010-05-22,0,,35346.6627655373,1,28.7632453138287
mr2009a15,2009,45240.1466415555,Off,1,2009-05-22,0,,35770.2586386004,0,45.2401466415555
mr2009a15,2010,51129.2493061981,Off,1,2010-06-04,1,2010-06-19,52048.3129046325,0,51.1292493061981
mr2009a16,2009,15397.6268540956,On,1,2009-05-22,0,,13744.6704241622,1,15.3976268540956
mr2009a16,2010,17109.5073954481,On,1,2010-05-22,0,,12134.5176189662,1,17.1095073954481
mr2009a16,2011,18812.7039103072,On,1,2011-05-22,0,,17974.8784264567,1,18.8127039103072
mr2009a17,2009,17121.5140929228,On,1,2009-05-22,0,,13242.2947336581,1,17.1215140929228
mr2009a17,2010,17951.6106700751,On,1,2010-06-08,1,2010-06-11,14342.7712279639,1,17.9516106700751
mr2009a18,2009,24474.1478568719,Off,1,2009-05-22,0,,21605.7580154882,0,24.4741478568719
mr2009a18,2010,23401.2794853162,On,1,2010-05-26,0,,13151.5291008814,1,23.4012794853162
mr2009a18,2011,20135.9289920518,On,1,2011-05-23,0,,14661.7911670741,1,20.1359289920518
mr2009a18,2012,26261.8449293262,On,1,2012-06-04,1,2012-06-09,10845.4664144344,1,26.2618449293262
mr2009a21,2009,16606.7597813171,On,1,2009-05-23,0,,15154.0967291914,1,16.6067597813171
mr2009a21,2010,17092.284342579,On,1,2010-06-18,0,,,1,17.092284342579
mr2009a21,2011,18510.37435894,On,1,2011-05-29,1,2011-06-02,17890.5084566098,1,18.51037435894
mr2009a21,2012,22433.6349016617,On,1,2012-05-22,0,,11105.1249978355,1,22.4336349016617
mr2009a23,2009,14375.4315863263,On,1,2009-05-22,0,,15374.5503945315,1,14.3754315863263
mr2009a24,2009,20849.6955809901,On,1,2009-05-22,0,,15168.2668571249,1,20.8496955809901
mr2009a24,2010,24118.4842911777,On,1,2010-06-16,1,2010-06-28,23813.9319775874,1,24.1184842911777
mr2009a24,2011,23089.0945681337,On,1,2011-05-22,0,,17017.8738212761,1,23.0890945681337
mr2009a25,2009,15564.2160320551,On,1,2009-05-23,0,,13385.0668077811,1,15.5642160320551
mr2009a25,2010,20465.6957952465,On,1,2010-06-15,1,2010-06-26,19010.3975697448,1,20.4656957952465
mr2009a25,2011,18166.8545645459,On,1,2011-05-24,0,,14822.2154688652,1,18.1668545645459
mr2009a25,2012,17174.5800814422,On,1,2012-05-24,0,,11092.9105843681,1,17.1745800814422
mr2009a25,2013,27687.102724682,On,1,2013-05-23,1,2013-05-25,24159.5336339866,1,27.687102724682
mr2009a26,2009,32239.1688878744,Off,1,2009-05-22,0,,14892.1923997564,0,32.2391688878744
mr2009a26,2010,28601.9689527367,On,1,2010-05-22,0,,15880.2689918461,1,28.6019689527367
mr2009a26,2012,29040.8205720082,On,,,0,,,1,29.0408205720082
mr2009a27,2009,16386.4416815091,On,1,2009-05-28,1,2009-06-06,14104.2019113772,1,16.3864416815091
mr2009a27,2010,17732.1788205263,On,1,2010-05-22,0,,12466.8806665105,1,17.7321788205263
mr2009a28,2010,56655.2297537209,Off,1,2010-05-23,1,,41378.7385697982,0,56.6552297537209
mr2009a28,2011,61609.5858553778,Off,1,2011-05-22,0,,60801.017492673,0,61.6095858553778
mr2009a28,2012,45998.7353154199,Off,,,0,,,0,45.9987353154199
mr2009a29,2010,21902.8835603963,On,1,2010-05-29,0,,14611.7697790013,1,21.9028835603963
mr2009a30,2010,19631.0066561772,On,1,2010-06-03,1,2010-06-11,15324.4545435226,1,19.6310066561772
mr2009a30,2011,19023.6414379512,On,1,2011-05-22,0,,16241.8244153116,1,19.0236414379512
mr2009a30,2012,17210.1993843277,On,1,2012-05-25,0,,10731.7746732961,1,17.2101993843277
mr2009a31,2010,29098.7324620993,Off,1,2010-05-22,0,,13460.2983451532,0,29.0987324620993
